"id","code_en","code_ru","name_en","city_code_en","country_code_ru","country_code_en","timezone","latitude","longitude","city_id","del","osm_type","osm_id"
"10551","SPB",,"Charlotte Amalie Harbor Seaplane Base","STT",,"US","-04:00","18.33822","-64.9393638",NULL,"0","N","368381910"
"13873","XOC",,"Madrid Atocha railway station","MAD",,"ES","+02:00","40.4069749","-3.6886008","1005","0","N","5299314576"
"13870","ВГЖ",,"Vologda railway station","VGD","РФ","RU","+03:00","59.2069881","39.8831262","292","0","N","1878204936"
"13867","ЯРЖ",,"Yaroslavl Main railway station","IAR","РФ","RU","+03:00","57.6256015","39.8353002","29","0","N","4016637106"
"13866","MRA",,"Misrata International Airport","MRA","ЛЫ","LY","+02:00","32.326484300000004","15.060931648759212","9144","0","W","462399206"
"13863","DHC",,"Bremen Central railway station","BRE",,"DE","+02:00","53.08347","8.813745904798823","3337","0","W","353191509"
"13860","SWV","СВЕ","Severo-Evensk Airport","SWV","РФ","RU","+11:00","61.9225","159.2274","289257","0","W","75208120"
"13857","YJB",,"Barcelona Sants Railway Station","BCN",,"ES","+02:00","41.37915605","2.140151510062726","698","0","W","134565983"
"13854","HZA",,"Heze Peony Airport","HZA",,"CN","+08:00","35.2110652","115.73368115631939","124704","0","W","386595752"
"13853","UKG","УКУ","Ust-Kuyga","UKG","РФ","RU","+10:00","70.01245","135.6518","289250","0","N","4545284520"
"13850","XYD",,"Lyon Airport","LYS",,"FR","+02:00","45.725556","5.08166","2338","0","N","2026972606"
"13844","AGY",,"Argyle Downs Airport","WYN",,"AU","+08:00","-16.508604","128.922485","24951","0","W","140336970"
"13841","EAP",,"EuroAirport Basel Mulhouse Freiburg","MLH",,"FR","+02:00","47.603236949999996","7.52434812773247","2302","0","W","231093392"
"13838","WDS",,"Shiyan Wudangshan Airport","WDS","ЦН","CN","+08:00","32.59258265","110.90677361967343","3546","0","W","539199354"
"13836","DZH",,"Dazhou Jinya Airport","DZH",,"CN","+08:00","31.05057705","107.43698222297508","40828","0","W","795301574"
"13833","YYA",,"Yueyang Sanhe Airport","YUG",,"CN","+08:00","29.30803435","113.2818135808048","3674","0","W","482793879"
"13830","HCZ",,"Chenzhou Beihu Airport","LQP",,"CN","+08:00","25.75482855","112.84966005166282","3649","0","W","616265819"
"13827","ZVR",,"Airport Hanover Central Station","HAJ",,"DE","+02:00","52.3769504","9.7416533","1131","0","N","3059639307"
"13824","ZLP",,"Airport at Zurich Railway Station","ZRH","ЦХ","CH","+02:00","47.3781008","8.5393635","715","0","N","1236383343"
"13821","DTZ",,"Airport Dortmund Railway Station","DTM",,"DE","+02:00","51.5178935","7.4592831","3281","0","N","1458488633"
"13818","QXR",,"Radom-Piastuv Airport","RDO",,"PL","+02:00","51.47945165","21.109212803803967","5410","0","W","286252799"
"13815","RDO",,"Warsaw-Radom Airport","RDO",,"PL","+02:00","51.38902645","21.21461175587696","5410","0","W","616266929"
