"id","country_id","name","name_en","acase_code","del","ResortFeeRu","ResortFeeEn"
"1","1","Адыгея","Republic of Adygeya","4","0",NULL,NULL
"2","1","Алтай","Republic of Altai","5","0","С 1 мая 2018 г. в отеле взимается курортный сбор в размере 30 руб./сутки с человека. С 1 января 2019 г. размер курортного сбора составит 50 руб./сутки с человека.","From 1 May 2018 hotel charges 30 RUB a day per person as a resort fee. Since 1 January 2019 hotel will charge 50 RUB a day per person."
"3","1","Алтайский край","Altai Territory","93","0","С 1 мая 2018 г. в отеле взимается курортный сбор в размере 30 руб./сутки с человека. С 1 января 2019 г. размер курортного сбора составит 50 руб./сутки с человека.","From 1 May 2018 hotel charges 30 RUB a day per person as a resort fee. Since 1 January 2019 hotel will charge 50 RUB a day per person."
"4","1","Амурская область","Amur Region","74","0",NULL,NULL
"5","1","Архангельская область","Arkhangelsk Region","76","0",NULL,NULL
"6","1","Астраханская область","Astrakhan Region","77","0",NULL,NULL
"7","1","Башкортостан","Republic of Bashkortostan","6","0",NULL,NULL
"8","1","Белгородская область","Belgorod Region","25","0",NULL,NULL
"9","1","Брянская область","Bryansk Region","19","0",NULL,NULL
"10","1","Бурятия","Republic of Buryatia","7","0",NULL,NULL
"12","1","Владимирская область","Vladimir Region","18","0",NULL,NULL
"13","1","Волгоградская область","Volgograd Region","15","0",NULL,NULL
"14","1","Вологодская область","Vologda Region","68","0",NULL,NULL
"15","1","Воронежская область","Voronezh Region","55","0",NULL,NULL
"16","1","Дагестан","Republic of Daghestan","8","0",NULL,NULL
"17","1","Еврейская область","Jewish Autonomous Region","73","0",NULL,NULL
"18","1","Ивановская область","Ivanovo Region","30","0",NULL,NULL
"19","1","Ингушетия","Republic of Ingushetia","85","0",NULL,NULL
"20","1","Иркутская область","Irkutsk Region","14","0",NULL,NULL
"21","1","Кабардино-Балкария","Kabardino-Balkarian Republic","79","0",NULL,NULL
"22","3","Казахстан","Kazakhstan","0","0",NULL,NULL
"23","1","Калининградская область","Kaliningrad Region","23","0",NULL,NULL
"24","1","Калмыкия","Republic of Kalmykia","12","0",NULL,NULL
"25","1","Калужская область","Kaluga Region","66","0",NULL,NULL
"26","1","Камчатский край","Kamchatka Territory","16","0",NULL,NULL
"27","1","Карачаево-Черкессия","Karachayevo-Circassian Republic","9","0",NULL,NULL
"28","1","Карелия","Republic of Karelia","52","0",NULL,NULL
"29","1","Кемеровская область","Kemerovo Region","13","0",NULL,NULL
"30","3","Кзыл-Ординская область","Kyzylorda Region","0","0",NULL,NULL
"31","1","Кировская область","Kirov Region","60","0",NULL,NULL
"32","1","Коми","Komi Republic","57","0",NULL,NULL
"33","1","Костромская область","Kostroma Region","34","0",NULL,NULL
"34","1","Краснодарский край","Krasnodar Territory","40","0","С 16 июля 2018 г. в отеле взимается курортный сбор в размере 10 руб./сутки с человека.","From 16 July 2018 hotel charges 10 RUB a day per person as a resort fee."
"35","1","Красноярский край","Krasnoyarsk Territory","50","0",NULL,NULL
"36","1","Курганская область","Kurgan Region","78","0",NULL,NULL
"37","1","Курская область","Kursk Region","53","0",NULL,NULL
"38","1","Ленинградская область","Leningrad Region","3","0",NULL,NULL
"39","1","Липецкая область","Lipetsk Region","28","0",NULL,NULL
"40","1","Магаданская область","Magadan Region","84","0",NULL,NULL
"41","1","Марий-Эл","Republic of Mari El","56","0",NULL,NULL
"42","1","Мордовия","Republic of Mordovia","87","0",NULL,NULL
"70","1","Московская область","Moscow Region","2","0",NULL,NULL
"71","1","Мурманская область","Murmansk Region","35","0",NULL,NULL
"72","20","Нагорно-Карабахская Республика","Republic of Artsakh","0","0",NULL,NULL
"73","1","Нижегородская область","Nizhny Novgorod Region","26","0",NULL,NULL
"74","1","Новгородская область","Novgorod Region","54","0",NULL,NULL
"75","1","Новосибирская область","Novosibirsk Region","27","0",NULL,NULL
