"id","code","country_iso_alpha2","full_name_ru","full_name_en","latitude","longitude","city_id","pseudo_iata_code","timezone","region_code","main_station","isVisible","del","last_update","priority","osm_type","osm_id"
"2833","2005095","RU","Ржевка","Rzhevka","59.9808193","30.5158033","21447",,,"78","0","1","0","2021-03-25 13:19:24","0","N","1913149506"
"2834","2005096","RU","Кобралово","Kobralovo","59.5884233","30.3898242","1452",,"+03:00","47","0","0","0","2021-03-25 13:18:49","0","N","344093926"
"2835","2005097","RU","Ост.Пункт 6 Км, Октябрьская, Ленинградская Область, Россия, 2005097","Ost.Punkt 6 Km","59.8877224","32.3211606","293",,"+03:00","47","0","1","0","2021-03-25 13:18:57","0","N","577332891"
"2836","2005099","RU","Аэропорт, Октябрьская, Санкт-Петербург, Россия, 2005099","Aeiroport","59.8143342","30.32107","37","LED","+03:00","78","0","1","0","2021-03-25 13:19:01","0","N","4112240556"
"2838","2005101","RU","Вялка","Vyalka","58.5385037","32.9702738","1325","ZZZ","+03:00","53","0","1","0","2021-03-25 13:18:51","0","N","446265118"
"2839","2005102","RU","Красненка","Krasnenka","58.7743846","32.3693626","1388",,"+03:00","53","0","1","0","2021-03-25 13:18:59","0","N","741598847"
"2840","2005103","RU","Злино","Zlino","57.9073649","33.9835085","1735",,"+03:00","69","0","1","0","2021-03-25 13:18:59","0","N","319537144"
"2841","2005104","RU","Гузятино","Guzyatino","57.910371","33.8823437","54682",,"+03:00","69","1","1","0","2021-03-25 13:18:51","1","N","384453213"
"2842","2005105","RU","Броневая","Bronevaya","59.8760287","30.2927908","37","ZZZ","+03:00","78","0","1","0","2021-03-25 13:18:45","0","N","8519064427"
"2844","2005107","RU","Чернушки","Chernushki","57.9524836","33.3107249","387",,"+03:00","53","0","1","0","2021-03-25 13:19:01","0","N","1430717209"
"2845","2005108","RU","Кимосозеро","Kimosozero","64.4433267","31.2613098","418",,"+03:00","10","0","1","0","2021-03-25 13:19:03","0","N","1620466785"
"2847","2005110","RU","Останкино","Ostankino","55.8174806","37.6033378","6",,"+03:00","77","0","0","0","2021-03-25 13:18:48","0","N","1994671361"
"2848","2005111","RU","Ост.Пункт 21 Км, Октябрьская, Ленинградская Область, Россия, 2005111","Ost.Punkt 21 Km","60.8344912","28.9501078","207",,"+03:00","47","0","1","0","2021-03-25 13:18:56","0","N","8491782413"
"2849","2005112","RU","Московское Море","Moskovskoye More","56.6119295","36.3334241","1402",,"+03:00","69","0","1","0","2021-03-25 13:19:00","0","N","314527417"
"2851","2005114","RU","Черничная","Chernichnaya","56.5013134","36.5041168","674",,"+03:00","69","0","1","0","2021-03-25 13:19:01","0","N","325044447"
"2852","2005115","RU","Сестрорецк","Sestroretsk","60.0930885","29.9585264","762",,,"78","0","1","0","2021-03-25 13:18:53","0","N","393980264"
"2854","2005118","RU","Ост.Пункт 4 Км, Октябрьская, Ленинградская Область, Россия, 2005118","Ost.Punkt 4 Km","59.7793407","31.0298314","1315",,"+03:00","47","0","1","0","2021-03-25 13:18:57","0","N","836006985"
"2856","2005120","RU","Татьянино","Tatyanino","59.565247","30.1397824","907",,"+03:00","47","0","1","0","2021-03-25 13:19:01","0","N","2786952783"
"2858","2005123","RU","Сювяоро","Syuvyaoro","61.49424362","29.61388397","12267",,"+03:00","10","0","1","0","2021-03-25 13:19:01","0",NULL,NULL
"2860","2005125","RU","Рижская","Rizhskaya","55.7967129","37.6399863","6",,"+03:00","77","0","1","0","2021-03-25 13:19:00","0","N","1994671380"
"2861","2005126","RU","Тосно 2","Tosno","59.5617368","30.8491158","1199",,"+03:00","47","0","1","0","2021-03-25 13:18:54","0","N","5678147744"
"2862","2005127","RU","Ост.Пункт 38 Км, Октябрьская, Ленинградская Область, Россия, 2005127","Ost.Punkt 38 Km","60.9603986","29.076061","1211",,"+03:00","47","0","1","0","2021-03-25 13:18:57","0","N","2523342335"
